Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
farming,pose,"a farmer, a hillbilly, a redneck","a pig, a sow, a swine, the proverbial pig, a hog, a razorback, a ham, some peasant, a slice of bacon, an old warthog, a Red Neck, a farm, a farmhouse, a manger, the field, a domestic pig, a pig farm","of the animals, of country music, in the fields, in a trailer park, of village life, of prize hogs, of redneck racists, of pulled pork, on hog farming, in the countryside, in a manger, for rural life, in the village, of pig lard, in the country,  in the manger, in the barn, in a sty",riding,"farming a farmer, a hillbilly, a redneck a pig, a sow, a swine, the proverbial pig, a hog, a razorback, a ham, some peasant, a slice of bacon, an old warthog, a Red Neck, a farm, a farmhouse, a manger, the field, a domestic pig, a pig farm of the animals, of country music, in the fields, in a trailer park, of village life, of prize hogs, of redneck racists, of pulled pork, on hog farming, in the countryside, in a manger, for rural life, in the village, of pig lard, in the country,  in the manger, in the barn, in a sty"
farting,pose,a farter,"a fart, a stench, the smell, a whoopee cushion, a burrito fart, a loud fart, a flatulent event, a case of wind, a gas chamber, a wet fart, a mouse fart, a mule fart, a plastic fart, a popcorn fart, a slient fart, a nun passing wind, farting, a farting dog","in the wind, full of farts, of chilli, of chili, of prune juice, of biological weapons, with the wind, in the arse, in the backside, full of air, full of farts, of gas, of a farting dog, for a farting dog, on a farting dog, farting in the bath, farting in the wind, farting in the woods",holding nose,"farting a farter a fart, a stench, the smell, a whoopee cushion, a burrito fart, a loud fart, a flatulent event, a case of wind, a gas chamber, a wet fart, a mouse fart, a mule fart, a plastic fart, a popcorn fart, a slient fart, a nun passing wind, farting, a farting dog in the wind, full of farts, of chilli, of chili, of prune juice, of biological weapons, with the wind, in the arse, in the backside, full of air, full of farts, of gas, of a farting dog, for a farting dog, on a farting dog, farting in the bath, farting in the wind, farting in the woods"
fighting with,pose,,,,commanding,fighting with   
goofy,pose,"a goofball, a weirdo, a livewire, a lunatic, a clown, a dynamo, a nut, female:a madwoman, a jackass, a fool, a loon, a muppet, a nutjob, a nutter, a stable genius, a crank, a circus clown","a paroxysm, an ecstasy, a lark, a wild leap, a gooney bird, a mad house, a fruitcake, madness, lunacy","with mental health problems, for the insane, of anarchy, of madness, of energy, during spring break, from Johnny Stupid, of the stupids, of raving lunatics, of mental health, on acid, full of idiots, full of clowns, of mental illness, avoiding growing old, avoiding responsibility, doing slapstick comedy, going senile, gurning for the camera, jumping on couches, making madcap comedies, making bizarre movies, making dumb comedies, making sick people laugh, promoting Scientology, starring in animated movies, working in a freak show, driven to madness, for fun, high on cocaine","laughing, chuckling, high fiving, condescending","goofy a goofball, a weirdo, a livewire, a lunatic, a clown, a dynamo, a nut, female:a madwoman, a jackass, a fool, a loon, a muppet, a nutjob, a nutter, a stable genius, a crank, a circus clown a paroxysm, an ecstasy, a lark, a wild leap, a gooney bird, a mad house, a fruitcake, madness, lunacy with mental health problems, for the insane, of anarchy, of madness, of energy, during spring break, from Johnny Stupid, of the stupids, of raving lunatics, of mental health, on acid, full of idiots, full of clowns, of mental illness, avoiding growing old, avoiding responsibility, doing slapstick comedy, going senile, gurning for the camera, jumping on couches, making madcap comedies, making bizarre movies, making dumb comedies, making sick people laugh, promoting Scientology, starring in animated movies, working in a freak show, driven to madness, for fun, high on cocaine"
hungry,pose,"a hungry animal, a wild animal, a wild beast, a lunatic, a parasite, a cannibal, a vulture, an ogre","a fork, fangs, a hunger, an appetite, a mouth, a monstrous meal, a cookie monster, a shark, a great white, a hungry bear, a hungry grizzly, a rogue bear, a wild furry animal, a wild pig, a steak knife","at the hellfire club, with an appetite, in a feeding frenzy, without a conscience, of depravity, infected with rabies, of piranha, through Donner Pass, of hungry piranhas, of hungry piranha, for the hungry, for the palate, full of sin, of cannibals, of drool, of zombies, eating a buffalo, full of hungry pigs, of a monstrous meal, with a cookie monster, of a cookie monster, inhabited by cannibals, full of fangs, by a grizzly, by a predator, by a tiger, of jackals, with a grizzly, with a grizzly bear, with a rogue bear, with a hungry bear, with a hungry grizzly, of depraved conduct, eating people, eating dinosaur ribs, eating census takers, prowling for dinner, terrorizing sleepers, in a chicken coop","blocking, defensive, running away, hiding, cowering","hungry a hungry animal, a wild animal, a wild beast, a lunatic, a parasite, a cannibal, a vulture, an ogre a fork, fangs, a hunger, an appetite, a mouth, a monstrous meal, a cookie monster, a shark, a great white, a hungry bear, a hungry grizzly, a rogue bear, a wild furry animal, a wild pig, a steak knife at the hellfire club, with an appetite, in a feeding frenzy, without a conscience, of depravity, infected with rabies, of piranha, through Donner Pass, of hungry piranhas, of hungry piranha, for the hungry, for the palate, full of sin, of cannibals, of drool, of zombies, eating a buffalo, full of hungry pigs, of a monstrous meal, with a cookie monster, of a cookie monster, inhabited by cannibals, full of fangs, by a grizzly, by a predator, by a tiger, of jackals, with a grizzly, with a grizzly bear, with a rogue bear, with a hungry bear, with a hungry grizzly, of depraved conduct, eating people, eating dinosaur ribs, eating census takers, prowling for dinner, terrorizing sleepers, in a chicken coop"
imitating,pose,"an imitator, a phony, a fraud, an actor, a pretender, a mime","an imitation, a caricature, a theatre, a knockoff, a theater, a mask, a trick or treater, a masquerade, a drama school","in a mask, in disguise, with no name, of memetics, for the theatre, of high drama, in five acts, acting off-off-Broadway, maintaining a secret identity, telling epic tales, of pretend",confident,"imitating an imitator, a phony, a fraud, an actor, a pretender, a mime an imitation, a caricature, a theatre, a knockoff, a theater, a mask, a trick or treater, a masquerade, a drama school in a mask, in disguise, with no name, of memetics, for the theatre, of high drama, in five acts, acting off-off-Broadway, maintaining a secret identity, telling epic tales, of pretend"
impressed,pose,"a fan, a fanboy","an impression, a sidekick","of wonder, full of wonders, of utopia, for perfection, full of wonder","heroic, towering, haughty, confident","impressed a fan, a fanboy an impression, a sidekick of wonder, full of wonders, of utopia, for perfection, full of wonder"
imprisoned,pose,"a prisoner, an inmate, a convict, a captive, a man in prison, a jail bird, a political prisoner, a prisoner of war, a death row inmate","a prison, a prison cell, a jail, a jail cell, a cage, a cell, a life sentence, a prison sentence, a conviction, a Nazi prisoner, an offender convicted, a man locked up, a man jailed, a man convicted, a prisoner convicted, an enemy prisoner, a hostage, an offender, a gilded cage, a secret prison, a state prison, a prison ship, steel","in a cage, for life, in a cell, in captivity, in a concentration camp, in Abu Ghraib, in an isolation cell, in solitary confinement, at Guantanamo Bay, in prison, in a canary cage, in Auschwitz, to a cage, with no exit, in a prison, at a prison, convicted of murder, to the slammer, without parole, of life imprisonment, in a gilded cage, in a prison cell, in a prison ship, at a secret prison, in a secret prison, at a state prison, in a state prison, in a jail cell, in a glass cage, a steel cage, jailed for life, of confinement, of captivity, locked up for life, of detention, in a chicken coup, without a key, swinging on a perch, to the slammer, in the slammer","frowning, insisting","imprisoned a prisoner, an inmate, a convict, a captive, a man in prison, a jail bird, a political prisoner, a prisoner of war, a death row inmate a prison, a prison cell, a jail, a jail cell, a cage, a cell, a life sentence, a prison sentence, a conviction, a Nazi prisoner, an offender convicted, a man locked up, a man jailed, a man convicted, a prisoner convicted, an enemy prisoner, a hostage, an offender, a gilded cage, a secret prison, a state prison, a prison ship, steel in a cage, for life, in a cell, in captivity, in a concentration camp, in Abu Ghraib, in an isolation cell, in solitary confinement, at Guantanamo Bay, in prison, in a canary cage, in Auschwitz, to a cage, with no exit, in a prison, at a prison, convicted of murder, to the slammer, without parole, of life imprisonment, in a gilded cage, in a prison cell, in a prison ship, at a secret prison, in a secret prison, at a state prison, in a state prison, in a jail cell, in a glass cage, a steel cage, jailed for life, of confinement, of captivity, locked up for life, of detention, in a chicken coup, without a key, swinging on a perch, to the slammer, in the slammer"
juggling,pose,"a juggler, an entertainer, a circus juggler","balls, juggling, a juggling ball, a carnival, a carousel, a cycle, a diversion, a circle, a circus, the circus, the ring, a silly game, a fun game, clownworld,  a distraction, distractions","of change, in a circus, in a sideshow, for gifted youngsters, for gifted students, for gifted kids, for exceptional children, in a centrifuge, of fun, at the circus, at the carnival, at Disneyland, in the circus, full of fun, entertaining teenagers, introducing cartoons, promoting circus attractions, running theme parks, to the circus, in clownworld, for clowns, for circus clowns",chuckling,"juggling a juggler, an entertainer, a circus juggler balls, juggling, a juggling ball, a carnival, a carousel, a cycle, a diversion, a circle, a circus, the circus, the ring, a silly game, a fun game, clownworld,  a distraction, distractions of change, in a circus, in a sideshow, for gifted youngsters, for gifted students, for gifted kids, for exceptional children, in a centrifuge, of fun, at the circus, at the carnival, at Disneyland, in the circus, full of fun, entertaining teenagers, introducing cartoons, promoting circus attractions, running theme parks, to the circus, in clownworld, for clowns, for circus clowns"
squirting,pose,"a prankster, a joker, an enfant terrible, a problem child","a water pistol, a water gun, a squirt gun, a fountain, a spray, a squirt, a splatter, a fun game, a fun thing, a cold shower, a garden hose, a toy gun, a toy, toys","with a squirt gun, with a water pistol, in a fountain, from a fountain, of water, pretending to fight, wielding a water gun, with water pistols",defensive,"squirting a prankster, a joker, an enfant terrible, a problem child a water pistol, a water gun, a squirt gun, a fountain, a spray, a squirt, a splatter, a fun game, a fun thing, a cold shower, a garden hose, a toy gun, a toy, toys with a squirt gun, with a water pistol, in a fountain, from a fountain, of water, pretending to fight, wielding a water gun, with water pistols"
laughing,pose,"a jester, a comic, a comedian, a joker","laughter, a laugh, a joke, a comedy, a farce, a good laugh, contempt","for laughs, for a joke, of laughter, of wit, from The Onion, filled with laughter, of jokes, of derision, of laughs, brimming with laughter, full of laughs, of a joke, laughing maniacally, performing stand-up, telling affable jokes, telling bad jokes","put out, shrugging, embarrassed","laughing a jester, a comic, a comedian, a joker laughter, a laugh, a joke, a comedy, a farce, a good laugh, contempt for laughs, for a joke, of laughter, of wit, from The Onion, filled with laughter, of jokes, of derision, of laughs, brimming with laughter, full of laughs, of a joke, laughing maniacally, performing stand-up, telling affable jokes, telling bad jokes"
lawyer,pose,"a lawyer, an attorney, a shyster, conman, a con man, a business man, a deal maker, a business person, a business leader, a defence lawyer","a lawsuit, a class action, a briefcase, a loophole, a defense lawyer","of frivolous lawsuits, in a lawsuit, for punitive damages, of legal filings, on tax statutes, of lawsuits, full of lawyers, defending plaintiffs, offering legal advice, protecting criminals, representing criminals, suing large corporations","negotiating, shrugging","lawyer a lawyer, an attorney, a shyster, conman, a con man, a business man, a deal maker, a business person, a business leader, a defence lawyer a lawsuit, a class action, a briefcase, a loophole, a defense lawyer of frivolous lawsuits, in a lawsuit, for punitive damages, of legal filings, on tax statutes, of lawsuits, full of lawyers, defending plaintiffs, offering legal advice, protecting criminals, representing criminals, suing large corporations"
neutral,pose,"a neutral, a bystander, ","female:a fine handbag, female:a purse",on the sidelines,shaking hands,"neutral a neutral, a bystander,  female:a fine handbag, female:a purse on the sidelines"
overshadowed,pose,"a nobody, a midget, a pygmy, an underdog, a hobbit, a leprechaun",a shadow,"of the underdog, of minnows, on the sidelines",towering,"overshadowed a nobody, a midget, a pygmy, an underdog, a hobbit, a leprechaun a shadow of the underdog, of minnows, on the sidelines"
passing telephone,pose,a receptionist,"a telephone, a telephone call, a phone call, a phonecall, a telephone poll, a phone cord","of angry calls, on the hotline, falling for prank calls",shaking hands,"passing telephone a receptionist a telephone, a telephone call, a phone call, a phonecall, a telephone poll, a phone cord of angry calls, on the hotline, falling for prank calls"
pleading,pose,"a petitioner, a plaintiff, an innocent man","a plea, an admission, a confession, a yearning, a whimper, the confessions, the plight","in a confessional, of the helpless","smug, imperious, indifferent","pleading a petitioner, a plaintiff, an innocent man a plea, an admission, a confession, a yearning, a whimper, the confessions, the plight in a confessional, of the helpless"
posing,pose,"a poseur, a model, female:a woman, a big star, female:a lady, female:a hooker, female:a chick, a dandy, female:a milf, female:a legendary beauty, female:a noble maiden, a moll, female:a woman, female:a girl, female:a starlet, a movie star, a media darling, a teen idol","a pose, a bikini, a mannequin, body","of extraordinary beauty, in a bikini, for international stars, of beauty, of natural beauty, of Dorian Gray, of beautiful skin, of visual beauty, full of beauty, of rare beauty, of great beauty, female:with big boobs, of stunning beauty, of exquisite beauty, gyrating hips, posing for photographs, female:impersonating women, flirting with rednecks, pouting on camera, starring in Hollywood movies, starring in indy movies, starring in TV shows","painting, photographing","posing a poseur, a model, female:a woman, a big star, female:a lady, female:a hooker, female:a chick, a dandy, female:a milf, female:a legendary beauty, female:a noble maiden, a moll, female:a woman, female:a girl, female:a starlet, a movie star, a media darling, a teen idol a pose, a bikini, a mannequin, body of extraordinary beauty, in a bikini, for international stars, of beauty, of natural beauty, of Dorian Gray, of beautiful skin, of visual beauty, full of beauty, of rare beauty, of great beauty, female:with big boobs, of stunning beauty, of exquisite beauty, gyrating hips, posing for photographs, female:impersonating women, flirting with rednecks, pouting on camera, starring in Hollywood movies, starring in indy movies, starring in TV shows"
preying,pose,"a predator, a wild animal, a beast, a maniac, a fiend, a Satanist, an apex predator","fangs, a nightmare, a bat, a shadowy world, a shadow world, a sick twist, a vampire bat, a ghost story, of gruesome terror, the prince of darkness","on the prowl, of horror stories, of depravity, of a monster, of the macabre, from Count Dracula, of horror, of horrors, of the undead, of sexual abuse, full of bats, to frighten children, on Elm Street, of sinister bats, of great terror, of great evil, of supernatural horror, in a nightmare, with a full moon, meddling in the dark arts, promoting the Dark Side, promoting wickedness, revelling in blood spatter, spreading fear, terrorizing sleepers, drinking blood, sucking blood","scared, cowering, running away, blocking, defensive","preying a predator, a wild animal, a beast, a maniac, a fiend, a Satanist, an apex predator fangs, a nightmare, a bat, a shadowy world, a shadow world, a sick twist, a vampire bat, a ghost story, of gruesome terror, the prince of darkness on the prowl, of horror stories, of depravity, of a monster, of the macabre, from Count Dracula, of horror, of horrors, of the undead, of sexual abuse, full of bats, to frighten children, on Elm Street, of sinister bats, of great terror, of great evil, of supernatural horror, in a nightmare, with a full moon, meddling in the dark arts, promoting the Dark Side, promoting wickedness, revelling in blood spatter, spreading fear, terrorizing sleepers, drinking blood, sucking blood"
examining document,pose,"a customs agent, a border agent","a border patrol, a border station, immigration",,"visiting, arriving","examining document a customs agent, a border agent a border patrol, a border station, immigration "
reading newspaper,pose,"a reader, a newsreader, a tabloid reporter, a gossip columnist","a newspaper, the news, a headline, the headlines, the evening news, a church newsletter, a news flash, a newsletter, the headline, a headline, a magazine, a newspaper delivered, msm, MSM, the mainstream media, the info, the information, information","of useful information, packed with information, for new knowledge, of new knowledge, in the news, in a newspaper, in the newspaper, of bad news, of bad publicity, of good news, of newspapers, of old newspapers, reading a newspaper, ripped from the headlines, from a magazine, in a magazine, of excellent information, for understanding, in international affairs, full of information, full of facts, promoting yellow journalism, publishing newspapers, reading the news, running a newspaper empire,  in a tabloid, in the tabloids",reading magazine,"reading newspaper a reader, a newsreader, a tabloid reporter, a gossip columnist a newspaper, the news, a headline, the headlines, the evening news, a church newsletter, a news flash, a newsletter, the headline, a headline, a magazine, a newspaper delivered, msm, MSM, the mainstream media, the info, the information, information of useful information, packed with information, for new knowledge, of new knowledge, in the news, in a newspaper, in the newspaper, of bad news, of bad publicity, of good news, of newspapers, of old newspapers, reading a newspaper, ripped from the headlines, from a magazine, in a magazine, of excellent information, for understanding, in international affairs, full of information, full of facts, promoting yellow journalism, publishing newspapers, reading the news, running a newspaper empire,  in a tabloid, in the tabloids"
reading magazine,pose,"a reader, a subscriber","a magazine, a periodical, a fashion magazine, the National Enquirer","reading Cosmopolitan,  reading a magazine, writing for the New Yorker, in a fashion magazine, in a magazine",reading newspaper,"reading magazine a reader, a subscriber a magazine, a periodical, a fashion magazine, the National Enquirer reading Cosmopolitan,  reading a magazine, writing for the New Yorker, in a fashion magazine, in a magazine"
rejected,pose,"a reject, a loser, an outcast, a loner, a scapegoat, a jilted lover, an incel, a wall flower","a wallflower, a rejection","with no friends, to the friendless, without a queen, of rejection letters, of rejection slips, of solitude, of sheer loneliness, for loneliness, of obscurity, of no estimation, of thwarted love, of lost love, alone in the world","banishing, critical, disagreeing","rejected a reject, a loser, an outcast, a loner, a scapegoat, a jilted lover, an incel, a wall flower a wallflower, a rejection with no friends, to the friendless, without a queen, of rejection letters, of rejection slips, of solitude, of sheer loneliness, for loneliness, of obscurity, of no estimation, of thwarted love, of lost love, alone in the world"
riding,pose,"a rider, a cowboy, female:cowgirl, a buckaroo, a jockey, a cavalry officer, a lone ranger","a horse, a pony, a stallion, a bronco, a Texan, a bareback ride, a horseshoe, a white horse, a race horse, a noble stallion, a horse race","on a horse, at a rodeo, in a western, in full gallop, on horseback, of horse shit, at the racetrack, of horse dung, on a ranch, from a horse, in cowboy boots, in Texas, in an old cowboy movie, on a war horse, of thoroughbreds, on the horses, on a work horse, on a gift horse, on a lame horse, from a lame horse, on a crippled donkey, from a race horse, on a race horse, from a wild horse, on a wild horse, full of thoroughbreds, in a stable, running a frontier town, starring in cowboy movies, going on romantic quests","high fiving, saluting, impressed","riding a rider, a cowboy, female:cowgirl, a buckaroo, a jockey, a cavalry officer, a lone ranger a horse, a pony, a stallion, a bronco, a Texan, a bareback ride, a horseshoe, a white horse, a race horse, a noble stallion, a horse race on a horse, at a rodeo, in a western, in full gallop, on horseback, of horse shit, at the racetrack, of horse dung, on a ranch, from a horse, in cowboy boots, in Texas, in an old cowboy movie, on a war horse, of thoroughbreds, on the horses, on a work horse, on a gift horse, on a lame horse, from a lame horse, on a crippled donkey, from a race horse, on a race horse, from a wild horse, on a wild horse, full of thoroughbreds, in a stable, running a frontier town, starring in cowboy movies, going on romantic quests"
rude,pose,"a punk, a vulgarian, a malcontent, a yob","a disregard, a contempt, an ex, a ranting tramp, a bastard thing, a fickle child,  a finger painting, the scum, contempt","of passive resistance, of personal abuse, of harassment, of public indignation, of indignation, in an abusive relationship, of cruel words, of horrible profanity, of negative comments, of bad manners, of civil disobedience, for disobedience, of insults, of heresy, for jerks, cursing at kitchen staff, insulting celebrities, making lewd remarks, making racist jibes, making vulgar cartoons, making vulgar jokes, tormenting muggles, abusing minorities, to discriminate","rejected, defensive, blocking, defiant, embarrassed","rude a punk, a vulgarian, a malcontent, a yob a disregard, a contempt, an ex, a ranting tramp, a bastard thing, a fickle child,  a finger painting, the scum, contempt of passive resistance, of personal abuse, of harassment, of public indignation, of indignation, in an abusive relationship, of cruel words, of horrible profanity, of negative comments, of bad manners, of civil disobedience, for disobedience, of insults, of heresy, for jerks, cursing at kitchen staff, insulting celebrities, making lewd remarks, making racist jibes, making vulgar cartoons, making vulgar jokes, tormenting muggles, abusing minorities, to discriminate"
running,pose,a runner,,from an abusive relationship,timekeeping,running a runner  from an abusive relationship
sad,pose,"a downer, a cry baby, a crybaby, a mourner","tears, a teardrop, a cry, a torrent, a sad tale, a sad twist, a tear, an outpouring, a sad waste, a tantrum, a dirge, a sad rain, a sad catalogue, a sad day, the whine, a baby crying, a melancholy state, a sad piece, a crying baby, a teething baby, of deepest remorse","of tears, of emotion, of emotions, of feelings, of endless tears, of salt tears, of emotional turmoil, in distress, of swelling emotion, for a departed friend, filled with grief, of human tragedy, full of sorrow, of grief, filled with sadness, of sorrow, of deep anguish, full of tears, of national grief, of salt tears, of blood and tears, of tragic events, of heartbreak, of sobbing, full of regrets, full of grief, without a happy ending, of much sorrow, of woe, of great distress, of great sorrow, of anguish, for the blues, of many sorrows, suffering from grief, in anguish, having meltdowns in public","sympathetic, put out","sad a downer, a cry baby, a crybaby, a mourner tears, a teardrop, a cry, a torrent, a sad tale, a sad twist, a tear, an outpouring, a sad waste, a tantrum, a dirge, a sad rain, a sad catalogue, a sad day, the whine, a baby crying, a melancholy state, a sad piece, a crying baby, a teething baby, of deepest remorse of tears, of emotion, of emotions, of feelings, of endless tears, of salt tears, of emotional turmoil, in distress, of swelling emotion, for a departed friend, filled with grief, of human tragedy, full of sorrow, of grief, filled with sadness, of sorrow, of deep anguish, full of tears, of national grief, of salt tears, of blood and tears, of tragic events, of heartbreak, of sobbing, full of regrets, full of grief, without a happy ending, of much sorrow, of woe, of great distress, of great sorrow, of anguish, for the blues, of many sorrows, suffering from grief, in anguish, having meltdowns in public"
scared,pose,"a coward, a yellowbelly, a milque toast, a snow flake","fear, a fear, a shiver, a terror, a paper tiger, a supernatural tale, a ghost story, a bad dream, a visit to the dentist, a panic attack, fear","of fear, of terrifying secrets, with separation anxiety, without a backbone, in danger, of horror, of psychological suspense, from stress, from imminent peril, of hysteria, in human frailty, of great distress, of stress hormones, of impending disaster, full of suspense, of constant danger, of pure terror, of distress, of dread","scary, preying, hungry, critical","scared a coward, a yellowbelly, a milque toast, a snow flake fear, a fear, a shiver, a terror, a paper tiger, a supernatural tale, a ghost story, a bad dream, a visit to the dentist, a panic attack, fear of fear, of terrifying secrets, with separation anxiety, without a backbone, in danger, of horror, of psychological suspense, from stress, from imminent peril, of hysteria, in human frailty, of great distress, of stress hormones, of impending disaster, full of suspense, of constant danger, of pure terror, of distress, of dread"
searching,pose,"a searcher, a seeker, a wanderer, a pioneer, an explorer, an adventurer, a patrol man, a leading light,  a night watchman","a searchlight, a flashlight, a search, a quest, an adventure, an exploration, a quest to unlock the secrets, a true seeker, a nightwatchman, a mission to unravel the secrets, a constant quest, a foray, a mission, a true pioneer, a search party","of light, on a quest, with a vision, through the labyrinth, through a maze, on the beat, in a maze, for lost treasure, for a treasure, for secret treasure, for buried treasure, of the unknown, in a quest, for treasure hunters, at the end of the rainbow, of exploration, pursuing the horizon, digging for antiquities, exploring foreign countries, exploring darkest Africa, exploring the new world, looking for hidden treasures, searching for a new world, searching for the messiah","running, introducing oneself","searching a searcher, a seeker, a wanderer, a pioneer, an explorer, an adventurer, a patrol man, a leading light,  a night watchman a searchlight, a flashlight, a search, a quest, an adventure, an exploration, a quest to unlock the secrets, a true seeker, a nightwatchman, a mission to unravel the secrets, a constant quest, a foray, a mission, a true pioneer, a search party of light, on a quest, with a vision, through the labyrinth, through a maze, on the beat, in a maze, for lost treasure, for a treasure, for secret treasure, for buried treasure, of the unknown, in a quest, for treasure hunters, at the end of the rainbow, of exploration, pursuing the horizon, digging for antiquities, exploring foreign countries, exploring darkest Africa, exploring the new world, looking for hidden treasures, searching for a new world, searching for the messiah"
shilling,pose,"a shill, a flak",,shilling for rental car companies,"purposeful, shouting","shilling a shill, a flak  shilling for rental car companies"
screaming,pose,"a screamer, a loudmouth, a windbag, female:a woman screaming, a man screaming, an opera singer, a spoilt brat, a cable TV host","a scream, a shout, a shriek, a yell, an outburst, a tirade, an outcry, a wild cry, a grunt, a bellow, a sharp yelp, a sharp cry, a sharp howl, a fiendish fit, a wild shout, the shrieks, a cry, a wild spirit, a stung bear, psychosis","of agony, of screaming fans, howling in the night, screaming in pain, screaming for help, in mortal distress, of growing desperation, pulling faces, shocking radio listeners, shouting in Hollywood movies, terrorizing employees, throwing temper tantrums, throwing TVs out of the windows, turning it up to 11",plugging ears,"screaming a screamer, a loudmouth, a windbag, female:a woman screaming, a man screaming, an opera singer, a spoilt brat, a cable TV host a scream, a shout, a shriek, a yell, an outburst, a tirade, an outcry, a wild cry, a grunt, a bellow, a sharp yelp, a sharp cry, a sharp howl, a fiendish fit, a wild shout, the shrieks, a cry, a wild spirit, a stung bear, psychosis of agony, of screaming fans, howling in the night, screaming in pain, screaming for help, in mortal distress, of growing desperation, pulling faces, shocking radio listeners, shouting in Hollywood movies, terrorizing employees, throwing temper tantrums, throwing TVs out of the windows, turning it up to 11"
sick,pose,"a patient, an inpatient, a paraplegic, a sick man, female:a sick woman, a sick person, a hypochondriac, a wheelchair user","an ailment, a disease, an affliction, a wheelchair, a sickness, an illness, the suffering, a disorder, a quadriplegic, polio, a disability","with a disability, with cancer, with special needs, in a hospice, of medical bills, in a wheelchair, with no insurance, of infectious disease, of raging trench foot, of foot fungus, for heart disease, of widespread cancer, of approaching death, of advanced disease, for deadly diseases, of a disease, of serious illness, of the disease, for the incurable, to Lourdes, dying of cancer, dying from cancer, dying from AIDS, crippled from birth, in a convalescent home","treating, sympathetic","sick a patient, an inpatient, a paraplegic, a sick man, female:a sick woman, a sick person, a hypochondriac, a wheelchair user an ailment, a disease, an affliction, a wheelchair, a sickness, an illness, the suffering, a disorder, a quadriplegic, polio, a disability with a disability, with cancer, with special needs, in a hospice, of medical bills, in a wheelchair, with no insurance, of infectious disease, of raging trench foot, of foot fungus, for heart disease, of widespread cancer, of approaching death, of advanced disease, for deadly diseases, of a disease, of serious illness, of the disease, for the incurable, to Lourdes, dying of cancer, dying from cancer, dying from AIDS, crippled from birth, in a convalescent home"
singing,pose,"a singer, an opera singer, a diva, a pop star, a folk singer","a song, a voice, a ballad, a hymn, a sweet voice, a canary, karaoke, a karaoke bar","in a midnight choir, at the opera, of vocal beauty, full of song, making insipid musicals, playing pop music, producing Hipbop records, promoting pop music, singing bawdy songs, singing blues songs, singing country music, singing experimental songs, singing Hipbop songs, recording pop songs, crooning love songs, singing jazz songs, singing melancholy songs, singing middle-of-the-road songs, singing multipart harmonies, singing on TV shows, singing opera arias, singing parody songs, singing pop songs, singing protest songs, singing punk rock songs, singing reggae songs, singing rock songs, singing the blues, singing to teenagers, singing torch songs, starring in musical comedies, writing experimental songs, writing rap songs, to the Opera, singing romantic songs, singing goofy songs","listening, plugging ears","singing a singer, an opera singer, a diva, a pop star, a folk singer a song, a voice, a ballad, a hymn, a sweet voice, a canary, karaoke, a karaoke bar in a midnight choir, at the opera, of vocal beauty, full of song, making insipid musicals, playing pop music, producing Hipbop records, promoting pop music, singing bawdy songs, singing blues songs, singing country music, singing experimental songs, singing Hipbop songs, recording pop songs, crooning love songs, singing jazz songs, singing melancholy songs, singing middle-of-the-road songs, singing multipart harmonies, singing on TV shows, singing opera arias, singing parody songs, singing pop songs, singing protest songs, singing punk rock songs, singing reggae songs, singing rock songs, singing the blues, singing to teenagers, singing torch songs, starring in musical comedies, writing experimental songs, writing rap songs, to the Opera, singing romantic songs, singing goofy songs"
sipping,pose,"a drinker, a drunk, an alcoholic, a  social drinker, a playboy, a social drinker, the life of the party, a sophisticate","a martini, a cocktail, happy hour, an oasis, a toast, a party, a welcome glass, a tonic, a wet bar, a resort, a luxury, a goblet, a wet bar, a toothpick, gin","in the civilized world, to good taste, to decadence, of champagne, of exquisite luxury, at the bar, for better living, on a holiday cruise, of partying, in the Hamptons, of good breeding, of booze, of Champagne, of pink champagne, on the Orient Express, in a cocktail bar, of uncompromising luxury, in the Champagne Room, having a drink, of leisure, of intemperate habits, of superior taste, of fine manners, in evening dress, attending cocktail parties, gadding about town, letting one's hair down, dining with playboy princes, partying on yachts, playing James Bond, throwing fund-raisers for Parkinson's disease, to celebrate, in the moment",catering,"sipping a drinker, a drunk, an alcoholic, a  social drinker, a playboy, a social drinker, the life of the party, a sophisticate a martini, a cocktail, happy hour, an oasis, a toast, a party, a welcome glass, a tonic, a wet bar, a resort, a luxury, a goblet, a wet bar, a toothpick, gin in the civilized world, to good taste, to decadence, of champagne, of exquisite luxury, at the bar, for better living, on a holiday cruise, of partying, in the Hamptons, of good breeding, of booze, of Champagne, of pink champagne, on the Orient Express, in a cocktail bar, of uncompromising luxury, in the Champagne Room, having a drink, of leisure, of intemperate habits, of superior taste, of fine manners, in evening dress, attending cocktail parties, gadding about town, letting one's hair down, dining with playboy princes, partying on yachts, playing James Bond, throwing fund-raisers for Parkinson's disease, to celebrate, in the moment"
smitten,pose,"a fan, a true lover, a true devotee, a true fan, a devoted fan",an infatuation,"of romantic love, about first love, falling in love, chasing virgins, chasing interns","nude, posing","smitten a fan, a true lover, a true devotee, a true fan, a devoted fan an infatuation of romantic love, about first love, falling in love, chasing virgins, chasing interns"
